Verkäufe,Fettgehalt,Visibilität,Typ,Max_Preis,Ladengrösse
3791,niedrig,0.089291137,Gesundheitsartikel,146.7102,Supermarkt_Gr.1
2798,normal,0.059511812,Früchte&Gemüse,128.0678,Supermarkt_Gr.3
1610,normal,0.113123893,Getränke,122.5388,Supermarkt_Gr.2
388,normal,0.123111453,Snacks,36.9874,Supermarkt_Gr.3
2180,niedrig,0.026480954,Snacks,87.6198,Supermarkt_Gr.3
3436,niedrig,0.102511504,Milchprodukt,230.6352,Supermarkt_Gr.1
2151,niedrig,0.02681843,Fleisch,126.002,Supermarkt_Gr.1
2527,niedrig,0.117818348,Snacks,192.9136,Supermarkt_Gr.1
6769,niedrig,0.069102831,Dosenware,259.9278,Supermarkt_Gr.2
374,normal,0.042277867,Dosenware,126.5046,Supermarkt_Gr.1
358,niedrig,0.089498926,Milchprodukt,178.1002,Lebensmittelladen
2429,niedrig,0,Gesundheitsartikel,153.3024,Supermarkt_Gr.1
5815,niedrig,0.025879577,Dosenware,265.2226,Supermarkt_Gr.1
2577,normal,0.121632721,Backwaren,60.622,Supermarkt_Gr.1
780,normal,0.255394896,Milchprodukt,196.8794,Lebensmittelladen
3135,niedrig,0.067779712,Gesundheitsartikel,143.8812,Supermarkt_Gr.1
851,niedrig,0.159803853,Gefrorenes,141.5154,Supermarkt_Gr.1
811,normal,0.028696932,Dosenware,117.0492,Supermarkt_Gr.1
3121,niedrig,0.065041581,Früchte&Gemüse,196.3794,Supermarkt_Gr.1
4815,niedrig,0.028760013,Haushaltsartikel,151.4708,Supermarkt_Gr.1
6259,niedrig,0.010053105,Snacks,249.0408,Supermarkt_Gr.2
2117,niedrig,0.048157338,Haushaltsartikel,106.1622,Supermarkt_Gr.1
797,niedrig,0.071958197,Alkohol,38.0506,Supermarkt_Gr.1
4910,niedrig,0.173481304,Snacks,194.511,Supermarkt_Gr.1
892,niedrig,0.061082177,Dosenware,180.0344,Lebensmittelladen
3185,niedrig,0,Früchte&Gemüse,246.9144,Supermarkt_Gr.2
1063,normal,0.040071131,Fleisch,87.3514,Supermarkt_Gr.1
485,niedrig,0.012090074,Früchte&Gemüse,38.2848,Supermarkt_Gr.3
148,normal,0.15028599,Gefrorenes,51.0692,Lebensmittelladen
2543,niedrig,0.026015519,Snacks,255.8356,Supermarkt_Gr.3
184,niedrig,0.195068226,Snacks,185.4266,Lebensmittelladen
4866,niedrig,0.033082215,Fleisch,172.5738,Supermarkt_Gr.1
1119,normal,0.078946455,Milchprodukt,186.024,Supermarkt_Gr.1
2302,niedrig,0.041700756,Getränke,164.8526,Supermarkt_Gr.1
2027,niedrig,0.143422643,Gesundheitsartikel,95.841,Supermarkt_Gr.1
3436,normal,0.105296072,Snacks,170.1764,Supermarkt_Gr.1
599,normal,0.121531501,Backwaren,59.222,Supermarkt_Gr.1
4605,niedrig,0,Cerealien,164.7526,Supermarkt_Gr.1
2285,niedrig,0.011324862,Dosenware,189.6188,Supermarkt_Gr.1
5581,niedrig,0.186357148,Haushaltsartikel,254.3698,Supermarkt_Gr.1
2290,normal,0.024205661,Gefrorenes,114.0176,Supermarkt_Gr.1
1207,niedrig,0.033230816,Snacks,172.3422,Supermarkt_Gr.1
643,niedrig,0.113720344,Backwaren,89.9804,Lebensmittelladen
1588,niedrig,0.112556507,Gefrorenes,104.9622,Supermarkt_Gr.1
5305,niedrig,0,Dosenware,222.5456,Supermarkt_Gr.1
1698,niedrig,0.059352241,Snacks,101.87,Supermarkt_Gr.1
1427,normal,0.014087057,Gefrorenes,180.3344,Supermarkt_Gr.1
4694,niedrig,0.045230944,Snacks,187.9556,Supermarkt_Gr.2
583,niedrig,0.293417759,Haushaltsartikel,194.6136,Lebensmittelladen
3092,normal,0.031382044,Backwaren,171.3764,Supermarkt_Gr.3
2479,normal,0.12639886,Früchte&Gemüse,177.0028,Supermarkt_Gr.1
2716,niedrig,0.025403898,Früchte&Gemüse,160.992,Supermarkt_Gr.1
3286,normal,0.039057677,Frühstücksartikel,155.963,Supermarkt_Gr.3
662,normal,0.123115764,Snacks,95.6436,Supermarkt_Gr.1
1523,niedrig,0.039624006,Fleisch,117.2808,Supermarkt_Gr.1
370,niedrig,0.040421193,Früchte&Gemüse,122.173,Lebensmittelladen
690,niedrig,0.105274111,Milchprodukt,39.9138,Supermarkt_Gr.1
1382,niedrig,0.033970195,Getränke,55.1614,Supermarkt_Gr.1
623,niedrig,0.053212652,Früchte&Gemüse,57.893,Supermarkt_Gr.1
1274,niedrig,0.024378706,Gesundheitsartikel,114.5492,Supermarkt_Gr.1
487,niedrig,0.009714595,Gefrorenes,120.0414,Lebensmittelladen
1232,niedrig,0.131383762,Gefrorenes,246.046,Supermarkt_Gr.1
3755,normal,0.074613090000000007,Früchte&Gemüse,187.4556,Supermarkt_Gr.1
4364,niedrig,0.028459761,Haushaltsartikel,149.9708,Supermarkt_Gr.3
1314,normal,0.074627201,Früchte&Gemüse,187.8556,Supermarkt_Gr.1
1806,niedrig,0.063695084,Gefrorenes,151.0708,Supermarkt_Gr.1
2855,normal,0.045797829,Snacks,178.5344,Supermarkt_Gr.3
3896,normal,0.115857223,Snacks,179.1028,Supermarkt_Gr.1
668,normal,0.024832806,Getränke,38.7822,Supermarkt_Gr.1
3186,niedrig,0.034027909,Snacks,212.0902,Supermarkt_Gr.2
2248,normal,0.0467696,Dosenware,141.1838,Supermarkt_Gr.1
1794,normal,0.116576702,Backwaren,163.121,Supermarkt_Gr.1
2531,normal,0,Backwaren,121.3098,Supermarkt_Gr.1
679,niedrig,0.278974075,Getränke,225.372,Lebensmittelladen
812,niedrig,0.035913805,Getränke,41.4138,Supermarkt_Gr.1
699,niedrig,0.079806266,Milchprodukt,232.53,Supermarkt_Gr.1
2732,niedrig,0.005505481,Gefrorenes,102.4016,Supermarkt_Gr.1
176,normal,0.064625342,Fleisch,176.937,Lebensmittelladen
4097,niedrig,0.071636937,Snacks,121.7098,Supermarkt_Gr.3
3152,normal,0,Brote,173.2054,Supermarkt_Gr.1
5942,niedrig,0.032677678,Gefrorenes,239.0906,Supermarkt_Gr.1
4844,normal,0.160760054,Gefrorenes,192.4478,Supermarkt_Gr.1
2542,niedrig,0.06911065,Snacks,109.0228,Supermarkt_Gr.1
2553,niedrig,0.041177505,Getränke,140.3154,Supermarkt_Gr.1
1142,niedrig,0.040081193,Snacks,227.0694,Supermarkt_Gr.2
680,niedrig,0.035307322,Haushaltsartikel,47.5034,Supermarkt_Gr.1
2086,niedrig,0.063017847,Getränke,159.0578,Supermarkt_Gr.1
186,normal,0.171938781,Dosenware,92.512,Lebensmittelladen
3036,normal,0.040197932,Dosenware,190.153,Supermarkt_Gr.1
867,niedrig,0.049058014,Brote,62.7194,Supermarkt_Gr.1
869,niedrig,0.01161096,Gefrorenes,95.041,Supermarkt_Gr.1
1137,niedrig,0.183507295,Getränke,82.4276,Supermarkt_Gr.1
928,niedrig,0.102349519,Milchprodukt,52.7956,Supermarkt_Gr.1
762,niedrig,0.086708987,Alkohol,151.7682,Supermarkt_Gr.1
707,niedrig,0.032835147,Haushaltsartikel,40.2822,Supermarkt_Gr.1
7968,niedrig,0.033809913,Dosenware,180.5976,Supermarkt_Gr.3
1438,niedrig,0.07266912,Haushaltsartikel,160.292,Supermarkt_Gr.1
6976,niedrig,0.144338493,Gesundheitsartikel,224.4404,Supermarkt_Gr.3
101,niedrig,0.009163216,Gefrorenes,101.7016,Lebensmittelladen
952,niedrig,0.011307038,Dosenware,188.5188,Supermarkt_Gr.2
1969,niedrig,0.076855628,Haushaltsartikel,116.0492,Supermarkt_Gr.1
5262,niedrig,0.059956876,Cerealien,165.4526,Supermarkt_Gr.3
1314,niedrig,0.038532062,Milchprodukt,60.5852,Supermarkt_Gr.1
535,niedrig,0.043209581,Früchte&Gemüse,90.8172,Supermarkt_Gr.1
264,niedrig,0.056816465,Andere,132.1284,Lebensmittelladen
1402,niedrig,0.019866705,Haushaltsartikel,154.5972,Supermarkt_Gr.1
1694,niedrig,0.048331717,Haushaltsartikel,105.1622,Supermarkt_Gr.1
2144,niedrig,0.091221855,Andere,105.5938,Supermarkt_Gr.1
2677,niedrig,0.027622076,Haushaltsartikel,177.6344,Supermarkt_Gr.1
905,normal,0,Gefrorenes,53.064,Supermarkt_Gr.1
7370,niedrig,0.039355947,Gefrorenes,246.3802,Supermarkt_Gr.1
6301,niedrig,0.060836524,Cerealien,226.8404,Supermarkt_Gr.1
1598,niedrig,0.082316506,Gesundheitsartikel,160.692,Supermarkt_Gr.1
529,niedrig,0.155350299,Snacks,178.237,Supermarkt_Gr.1
1969,niedrig,0.076841095,Haushaltsartikel,117.5492,Supermarkt_Gr.1
1035,niedrig,0.151419185,Getränke,50.3692,Supermarkt_Gr.1
1794,normal,0.026001976,Gefrorenes,161.521,Supermarkt_Gr.2
2768,normal,0.073209447,Gefrorenes,197.6426,Supermarkt_Gr.2
899,niedrig,0.041683481,Getränke,31.29,Supermarkt_Gr.3
3169,niedrig,0.042560252,Früchte&Gemüse,226.172,Supermarkt_Gr.1
3590,niedrig,0.014081156,Haushaltsartikel,223.5746,Supermarkt_Gr.2
262,normal,0,Backwaren,132.5626,Supermarkt_Gr.2
1910,niedrig,0.152918384,Frühstücksartikel,99.8358,Supermarkt_Gr.1
1702,niedrig,0.030969274,Getränke,140.9154,Supermarkt_Gr.1
2471,normal,0.060376776,Gefrorenes,154.5656,Supermarkt_Gr.1
1332,normal,0.04192285,Snacks,54.764,Supermarkt_Gr.1
1809,niedrig,0.077367431,Früchte&Gemüse,97.0094,Supermarkt_Gr.3
3316,niedrig,0.045838211,Dosenware,222.5456,Supermarkt_Gr.2
2619,niedrig,0.071077939,Getränke,114.2518,Supermarkt_Gr.1
2770,normal,0.094659871,Fleisch,214.556,Supermarkt_Gr.1
5375,normal,0.077608838,Getränke,233.4958,Supermarkt_Gr.1
2839,niedrig,0.021327477,Dosenware,216.8824,Supermarkt_Gr.1
1743,normal,0.042485444,Dosenware,125.0046,Supermarkt_Gr.2
5555,niedrig,0.025578526,Haushaltsartikel,198.8084,Supermarkt_Gr.3
619,niedrig,0.0489808,Brote,61.9194,Supermarkt_Gr.2
2121,niedrig,0.019471688,Andere,164.821,Supermarkt_Gr.1
3823,niedrig,0.122918852,Früchte&Gemüse,173.0738,Supermarkt_Gr.1
1360,normal,0.057373797,Fleisch,151.4366,Supermarkt_Gr.1
3969,normal,0.044155597,Früchte&Gemüse,178.8318,Supermarkt_Gr.1
346,niedrig,0.291865402,Früchte&Gemüse,115.1834,Lebensmittelladen
585,niedrig,0,Brote,196.5794,Lebensmittelladen
1011,normal,0.064750025,Cerealien,92.6804,Supermarkt_Gr.1
161,niedrig,0.098312421,Gesundheitsartikel,81.4618,Lebensmittelladen
43,normal,0.191013663,Getränke,42.1112,Lebensmittelladen
3011,niedrig,0.176573035,Backwaren,157.4604,Supermarkt_Gr.1
6024,normal,0.060134441,Gefrorenes,153.0656,Supermarkt_Gr.3
989,niedrig,0.007294652,Fleisch,198.1426,Supermarkt_Gr.1
240,niedrig,0.128478462,Gesundheitsartikel,117.944,Lebensmittelladen
1374,normal,0.075107656,Milchprodukt,112.8176,Supermarkt_Gr.1
4740,normal,0.049381406,Backwaren,226.8062,Supermarkt_Gr.3
1012,normal,0.045165796,Snacks,100.0016,Supermarkt_Gr.2
658,normal,0.09415375,Früchte&Gemüse,165.7526,Lebensmittelladen
779,niedrig,0.028907832,Gesundheitsartikel,130.431,Supermarkt_Gr.1
2337,normal,0.018059621,Gefrorenes,179.766,Supermarkt_Gr.1
2233,niedrig,0.090436094,Haushaltsartikel,85.0882,Supermarkt_Gr.1
1662,niedrig,0.146399712,Fleisch,103.9648,Supermarkt_Gr.1
4746,normal,0.074264356,Snacks,264.7568,Supermarkt_Gr.1
3125,normal,0.050186726,Früchte&Gemüse,164.1526,Supermarkt_Gr.1
467,niedrig,0.020631654,Früchte&Gemüse,50.1324,Supermarkt_Gr.2
5071,niedrig,0.01561108,Haushaltsartikel,182.5976,Supermarkt_Gr.3
541,niedrig,0.041395445,Früchte&Gemüse,37.6164,Supermarkt_Gr.1
993,normal,0.097313129,Gefrorenes,48.0718,Supermarkt_Gr.1
6009,niedrig,0.059582996,Andere,238.8538,Supermarkt_Gr.1
2105,normal,0.098663652,Milchprodukt,62.9194,Supermarkt_Gr.3
5360,normal,0.101338651,Dosenware,232.63,Supermarkt_Gr.3
746,niedrig,0.052146456,Gesundheitsartikel,104.628,Supermarkt_Gr.1
3276,normal,0.041764487,Backwaren,161.8868,Supermarkt_Gr.1
1702,niedrig,0.054344186,Snacks,140.2154,Supermarkt_Gr.1
6705,niedrig,0.078362484,Backwaren,177.937,Supermarkt_Gr.3
4120,niedrig,0.052339069,Fleisch,242.7512,Supermarkt_Gr.1
328,normal,0.042464962,Backwaren,81.5934,Lebensmittelladen
781,niedrig,0.065732883,Gefrorenes,45.7402,Supermarkt_Gr.1
3631,niedrig,0.023625114,Getränke,189.3846,Supermarkt_Gr.1
318,normal,0.051643608,Snacks,107.3622,Lebensmittelladen
232,niedrig,0.165694219,Gefrorenes,39.7164,Lebensmittelladen
133,niedrig,0.041878397,Getränke,32.99,Supermarkt_Gr.1
5651,niedrig,0.058091482,Milchprodukt,245.1802,Supermarkt_Gr.1
2637,normal,0,Snacks,263.7568,Supermarkt_Gr.1
1272,niedrig,0.026903714,Haushaltsartikel,96.0726,Supermarkt_Gr.1
325,niedrig,0,Haushaltsartikel,161.5552,Lebensmittelladen
131,normal,0.150554711,Snacks,130.0626,Lebensmittelladen
261,normal,0,Früchte&Gemüse,131.2968,Lebensmittelladen
261,normal,0.134975628,Gefrorenes,260.0936,Lebensmittelladen
3691,niedrig,0.15616879,Fleisch,160.6578,Supermarkt_Gr.1
1139,niedrig,0,Fleisch,40.2822,Supermarkt_Gr.1
1995,normal,0.133700752,Backwaren,52.9298,Supermarkt_Gr.1
1417,normal,0.115119905,Backwaren,88.3514,Supermarkt_Gr.1
266,normal,0.110030997,Gefrorenes,37.2506,Supermarkt_Gr.1
3553,niedrig,0.051038045,Dosenware,121.7072,Supermarkt_Gr.1
2407,niedrig,0.062837968,Getränke,161.5578,Supermarkt_Gr.1
213,niedrig,0.017116983,Andere,211.956,Lebensmittelladen
2956,niedrig,0.024129332,Früchte&Gemüse,124.173,Supermarkt_Gr.1
153,niedrig,0.049754975,Milchprodukt,152.134,Lebensmittelladen
1650,niedrig,0,Dosenware,79.7644,Supermarkt_Gr.1
3101,niedrig,0.101561568,Dosenware,181.9292,Supermarkt_Gr.3
4769,niedrig,0.005949644,Haushaltsartikel,165.6526,Supermarkt_Gr.3
3436,normal,0.13956116,Fisch&Meeresfrüchte,170.4764,Supermarkt_Gr.3
1134,niedrig,0.126035694,Früchte&Gemüse,86.4198,Supermarkt_Gr.1
2603,niedrig,0.027164679,Dosenware,152.334,Supermarkt_Gr.1
606,niedrig,0.099325278,Haushaltsartikel,45.406,Supermarkt_Gr.1
2293,niedrig,0.04357366,Alkohol,192.8846,Supermarkt_Gr.3
119,normal,0.082741482,Snacks,118.7782,Lebensmittelladen
1929,normal,0.064565202,Cerealien,92.9804,Supermarkt_Gr.1
2075,niedrig,0.084554569,Snacks,109.8912,Supermarkt_Gr.3
242,niedrig,0.058451805,Gesundheitsartikel,79.9618,Supermarkt_Gr.3
6795,niedrig,0.113748685,Haushaltsartikel,251.3724,Supermarkt_Gr.1
639,niedrig,0.020603511,Haushaltsartikel,42.7112,Supermarkt_Gr.1
3248,niedrig,0.052044976,Gesundheitsartikel,192.1846,Supermarkt_Gr.1
7223,normal,0.062764429,Früchte&Gemüse,227.6062,Supermarkt_Gr.1
3225,niedrig,0.087977262,Milchprodukt,229.0668,Supermarkt_Gr.1
3755,niedrig,0.010010425,Snacks,249.0408,Supermarkt_Gr.1
3441,niedrig,0.033946163,Dosenware,179.3976,Supermarkt_Gr.1
975,normal,0.058414678,Früchte&Gemüse,163.4552,Supermarkt_Gr.1
536,niedrig,0.027106459,Fleisch,75.367,Supermarkt_Gr.1
5260,niedrig,0.027022883,Gefrorenes,262.491,Supermarkt_Gr.1
306,niedrig,0.058153409,Milchprodukt,152.034,Lebensmittelladen
1779,niedrig,0.128937661,Früchte&Gemüse,112.3886,Supermarkt_Gr.2
759,niedrig,0.088846306,Früchte&Gemüse,61.451,Supermarkt_Gr.1
1878,normal,0.09357779,Snacks,125.9704,Supermarkt_Gr.1
3779,normal,0.165694678,Früchte&Gemüse,171.8764,Supermarkt_Gr.1
41,niedrig,0.148392623,Gefrorenes,41.5796,Lebensmittelladen
260,niedrig,0.098438394,Dosenware,51.1324,Supermarkt_Gr.1
193,niedrig,0.143303291,Gesundheitsartikel,96.341,Supermarkt_Gr.1
1688,normal,0.076276208,Fleisch,110.9202,Supermarkt_Gr.1
4656,niedrig,0.175103435,Backwaren,127.5362,Supermarkt_Gr.1
4951,normal,0.023511371,Fleisch,225.9404,Supermarkt_Gr.1
1418,niedrig,0.06105276,Getränke,95.4436,Supermarkt_Gr.1
1225,normal,0.049559042,Gefrorenes,246.4144,Supermarkt_Gr.1
5360,normal,0.119418124,Milchprodukt,231.03,Supermarkt_Gr.1
1764,niedrig,0.072545601,Frühstücksartikel,176.237,Supermarkt_Gr.1
2553,niedrig,0.090486828,Haushaltsartikel,195.211,Supermarkt_Gr.1
1007,niedrig,0.056245075,Gefrorenes,43.3454,Supermarkt_Gr.1
1082,niedrig,0.014618973,Backwaren,85.225,Supermarkt_Gr.1
309,niedrig,0.043479126,Cerealien,36.7164,Supermarkt_Gr.1
2517,niedrig,0.045166237,Gefrorenes,178.666,Supermarkt_Gr.1
1428,normal,0.057827101,Gefrorenes,128.831,Supermarkt_Gr.1
2093,niedrig,0.089394766,Milchprodukt,260.1594,Supermarkt_Gr.1
1929,niedrig,0.10550944,Früchte&Gemüse,85.6908,Supermarkt_Gr.1
5830,niedrig,0.005234153,Milchprodukt,264.0884,Supermarkt_Gr.1
2083,niedrig,0.036390174,Snacks,91.4488,Supermarkt_Gr.1
7298,niedrig,0.03292824,Fleisch,173.1738,Supermarkt_Gr.3
7453,niedrig,0.081252534,Früchte&Gemüse,256.4988,Supermarkt_Gr.1
450,normal,0.076552407,Fleisch,110.5202,Supermarkt_Gr.1
501,niedrig,0.016758569,Snacks,250.4408,Lebensmittelladen
3669,niedrig,0.044248175,Snacks,126.202,Supermarkt_Gr.3
736,normal,0.038288087,Früchte&Gemüse,103.1964,Supermarkt_Gr.2
6088,niedrig,0.186032678,Haushaltsartikel,253.0698,Supermarkt_Gr.1
2125,niedrig,0.031867464,Haushaltsartikel,101.0016,Supermarkt_Gr.3
2277,niedrig,0.021370201,Getränke,153.0024,Supermarkt_Gr.1
573,niedrig,0.193772568,Früchte&Gemüse,190.3846,Lebensmittelladen
2267,normal,0.009866049,Fleisch,151.1366,Supermarkt_Gr.1
297,niedrig,0.082551042,Früchte&Gemüse,147.3734,Lebensmittelladen
559,niedrig,0.099729888,Haushaltsartikel,46.306,Supermarkt_Gr.2
5559,normal,0.018801549,Früchte&Gemüse,222.1772,Supermarkt_Gr.1
1238,niedrig,0.119721451,Haushaltsartikel,95.5094,Supermarkt_Gr.1
569,niedrig,0.071222087,Getränke,113.5518,Supermarkt_Gr.1
3867,normal,0.060371962,Frühstücksartikel,174.0712,Supermarkt_Gr.3
1380,niedrig,0.033287541,Früchte&Gemüse,198.4768,Supermarkt_Gr.1
1870,niedrig,0.05858462,Milchprodukt,142.7128,Supermarkt_Gr.2
5500,normal,0.11679292,Backwaren,196.211,Supermarkt_Gr.3
925,niedrig,0.031452265,Backwaren,94.3462,Supermarkt_Gr.1
583,niedrig,0.00721395,Backwaren,47.9034,Supermarkt_Gr.1
1418,niedrig,0.081196619,Andere,141.4154,Supermarkt_Gr.1
943,normal,0.049916364,Früchte&Gemüse,80.2644,Supermarkt_Gr.1
2365,niedrig,0.04627095,Backwaren,99.3384,Supermarkt_Gr.1
3252,normal,0.02747716,Dosenware,87.9856,Supermarkt_Gr.3
254,normal,0.104704537,Früchte&Gemüse,125.2678,Lebensmittelladen
5896,niedrig,0.012540003,Haushaltsartikel,167.0474,Supermarkt_Gr.1
1135,niedrig,0.147023834,Brote,93.7436,Supermarkt_Gr.2
7697,niedrig,0.159657596,Getränke,224.972,Supermarkt_Gr.1
2776,niedrig,0.141398626,Alkohol,250.5382,Supermarkt_Gr.1
5317,niedrig,0.148821808,Früchte&Gemüse,241.2854,Supermarkt_Gr.1
875,niedrig,0,Gefrorenes,98.0068,Supermarkt_Gr.2
1040,niedrig,0.029691762,Backwaren,92.6436,Supermarkt_Gr.1
3038,niedrig,0.096715523,Früchte&Gemüse,235.0958,Supermarkt_Gr.1
3848,normal,0.014790559,Milchprodukt,193.6162,Supermarkt_Gr.1
527,normal,0.054378253,Dosenware,59.1904,Supermarkt_Gr.1
2391,normal,0.123428594,Snacks,89.1514,Supermarkt_Gr.1
1678,normal,0.029943463,Dosenware,60.222,Supermarkt_Gr.3
802,normal,0.052368061,Gefrorenes,112.7176,Supermarkt_Gr.1
1267,niedrig,0.093861144,Snacks,115.5834,Supermarkt_Gr.1
887,niedrig,0.033968647,Snacks,148.0076,Supermarkt_Gr.1
453,normal,0.173154079,Früchte&Gemüse,228.272,Lebensmittelladen
3878,niedrig,0.139735226,Gefrorenes,147.5392,Supermarkt_Gr.1
4414,niedrig,0.043351896,Früchte&Gemüse,146.6418,Supermarkt_Gr.3
5449,niedrig,0.042086652,Alkohol,122.4388,Supermarkt_Gr.3
4951,normal,0.12848269,Backwaren,223.9404,Supermarkt_Gr.1
959,niedrig,0.049357077,Getränke,62.6168,Supermarkt_Gr.1
1956,normal,0.008326735,Milchprodukt,149.9708,Supermarkt_Gr.1
2404,niedrig,0.021362955,Früchte&Gemüse,103.2306,Supermarkt_Gr.1
387,niedrig,0.151420934,Andere,194.3478,Lebensmittelladen
995,niedrig,0.032511818,Fleisch,165.0842,Supermarkt_Gr.1
1754,normal,0.022323658,Brote,101.299,Supermarkt_Gr.1
3341,niedrig,0.019292355,Gesundheitsartikel,129.9994,Supermarkt_Gr.3
3919,niedrig,0.048124443,Brote,216.7166,Supermarkt_Gr.1
306,niedrig,0.09261307,Milchprodukt,76.367,Supermarkt_Gr.1
4278,niedrig,0.094697274,Backwaren,158.4604,Supermarkt_Gr.3
4426,niedrig,0.035984104,Früchte&Gemüse,260.6278,Supermarkt_Gr.1
9268,normal,0.056596985,Snacks,230.9984,Supermarkt_Gr.3
230,niedrig,0.2047,Gefrorenes,76.867,Lebensmittelladen
2056,normal,0.020618324,Frühstücksartikel,129.39940000000001,Supermarkt_Gr.3
3340,niedrig,0.04709821,Andere,101.3016,Supermarkt_Gr.1
6410,normal,0.087584126,Früchte&Gemüse,221.7456,Supermarkt_Gr.1
1992,normal,0.038078899,Gefrorenes,122.9046,Supermarkt_Gr.1
2871,normal,0.095102092,Frühstücksartikel,104.4332,Supermarkt_Gr.1
2807,normal,0.011953902,Dosenware,164.5184,Supermarkt_Gr.3
539,normal,0.062799379,Backwaren,88.183,Supermarkt_Gr.1
4378,niedrig,0.031125709,Haushaltsartikel,174.3054,Supermarkt_Gr.1
2716,niedrig,0.026005891,Haushaltsartikel,180.9976,Supermarkt_Gr.1
384,niedrig,0.09246392,Snacks,190.9504,Lebensmittelladen
703,niedrig,0.107765165,Getränke,59.5904,Supermarkt_Gr.1
1937,niedrig,0.010647477,Fleisch,66.3826,Supermarkt_Gr.1
3308,niedrig,0.015749341,Haushaltsartikel,182.2608,Supermarkt_Gr.1
3143,niedrig,0.077628053,Haushaltsartikel,197.611,Supermarkt_Gr.1
2554,niedrig,0,Dosenware,181.2292,Supermarkt_Gr.2
1870,normal,0.056695731,Brote,104.0648,Supermarkt_Gr.2
5495,normal,0.063993068,Brote,260.4594,Supermarkt_Gr.1
6093,normal,0.069529262,Fleisch,233.1616,Supermarkt_Gr.1
2587,niedrig,0.034452949,Getränke,174.0422,Supermarkt_Gr.1
1256,normal,0.06670068,Snacks,55.2956,Supermarkt_Gr.1
4093,normal,0.034699737,Dosenware,141.7496,Supermarkt_Gr.1
3164,niedrig,0.058346939,Milchprodukt,142.2128,Supermarkt_Gr.1
5033,normal,0.065203103,Fleisch,166.0816,Supermarkt_Gr.3
1137,normal,0.078929571,Gefrorenes,79.9276,Supermarkt_Gr.1
2696,niedrig,0.182514881,Früchte&Gemüse,98.77,Supermarkt_Gr.3
899,niedrig,0.016895293,Alkohol,178.566,Supermarkt_Gr.2
2756,niedrig,0.073379745,Gesundheitsartikel,118.244,Supermarkt_Gr.1
879,niedrig,0.08075758,Backwaren,81.896,Supermarkt_Gr.1
659,niedrig,0.112271498,Snacks,58.222,Supermarkt_Gr.1
182,niedrig,0.153741385,Milchprodukt,182.6292,Lebensmittelladen
3611,niedrig,0.127929521,Früchte&Gemüse,211.4902,Supermarkt_Gr.1
5153,normal,0.07838564,Früchte&Gemüse,256.4646,Supermarkt_Gr.1
2589,normal,0.078502143,Fleisch,108.7596,Supermarkt_Gr.1
1286,normal,0.047684831,Milchprodukt,212.5876,Supermarkt_Gr.2
